
time="2023-04-15 15:19:52" level=info msg="this is  日志"
time="2023-04-15 15:21:35" level=info msg="this is  日志"
time="2023-04-16 12:43:57" level=info msg="| 200 |  1.746638783s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-05"
time="2023-04-16 12:44:00" level=info msg="| 200 |  1.393233767s |  192.168.96.128 | GET | /asiacloud/vhost/my101-tcp-site-01"
time="2023-04-16 12:44:04" level=info msg="| 200 |  1.739973536s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-05"
time="2023-04-16 12:44:08" level=info msg="| 200 |  1.859135267s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-03"
time="2023-04-16 13:02:15" level=info msg="| 200 |    7.153939ms |  192.168.96.128 | GET | /im"
time="2023-04-16 13:02:28" level=info msg="| 200 |  379.929404ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 13:03:15" level=info msg="| 200 |  428.670824ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 13:03:49" level=info msg="| 200 |   1.43036365s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-16 13:03:53" level=info msg="| 200 |  1.738429666s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-04"
time="2023-04-16 13:03:54" level=info msg="| 200 |  1.793861003s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-05"
time="2023-04-16 13:04:33" level=info msg="| 200 |    5.207544ms |  192.168.96.128 | GET | /im"
time="2023-04-16 13:04:41" level=info msg="| 200 |  1.350035863s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-16 13:04:49" level=info msg="| 200 |  1.831225161s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-05"
time="2023-04-16 13:05:03" level=info msg="| 200 |  1.917739364s |  192.168.96.128 | POST | /asiacloud/vhost/my101-site-05"
time="2023-04-16 13:05:22" level=info msg="| 200 |  1.398789895s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-16 13:05:27" level=info msg="| 200 |  1.750105508s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-05"
time="2023-04-16 13:05:39" level=info msg="| 200 |    4.485804ms |  192.168.96.128 | GET | /im"
time="2023-04-16 13:05:47" level=info msg="| 200 |  404.355187ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 13:06:29" level=info msg="| 200 |  504.363823ms |  192.168.96.128 | POST | /im/line/10"
time="2023-04-16 13:06:33" level=info msg="| 200 |  407.867512ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 13:06:38" level=info msg="| 200 |  361.576821ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 13:07:22" level=info msg="| 200 |  458.952073ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 13:07:40" level=info msg="| 200 |  391.882594ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 13:10:03" level=info msg="| 200 |     3.17813ms |  192.168.96.128 | GET | /im"
time="2023-04-16 13:10:07" level=info msg="| 200 |  411.177693ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 13:33:41" level=info msg="| 200 |  4.764710007s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 13:39:04" level=info msg="| 200 |    3.076781ms |  192.168.96.128 | GET | /airborne"
time="2023-04-16 13:39:50" level=info msg="| 200 |    9.556241ms |  192.168.96.128 | POST | /airborne"
time="2023-04-16 13:39:50" level=info msg="| 200 |    2.907244ms |  192.168.96.128 | GET | /airborne"
time="2023-04-16 13:59:42" level=info msg="| 200 |    6.292995ms |  192.168.96.128 | POST | /airborne"
time="2023-04-16 13:59:42" level=info msg="| 200 |    4.282431ms |  192.168.96.128 | GET | /airborne"
time="2023-04-16 14:04:52" level=info msg="| 200 |    3.617633ms |  192.168.96.128 | GET | /im"
time="2023-04-16 14:05:40" level=info msg="| 200 |  4.543183964s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 14:05:44" level=info msg="| 200 |  312.428373ms |  192.168.96.128 | GET | /cloudflare/chsujaikmkhlsj.com"
time="2023-04-16 14:14:28" level=info msg="| 200 |  697.737933ms |  192.168.96.128 | GET | /cloudflare/chsujaikmkhlsj.com"
time="2023-04-16 14:18:52" level=info msg="| 200 |  979.463886ms |  192.168.96.128 | GET | /cloudflare/dns/chsujaikmkhlsj.com"
time="2023-04-16 14:19:15" level=info msg="| 200 |   632.82731ms |  192.168.96.128 | GET | /cloudflare/dns/chsujaikmkhlsj.com"
time="2023-04-16 14:19:27" level=info msg="| 200 |  4.250072111s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 14:19:48" level=info msg="| 200 |   384.27728ms |  192.168.96.128 | GET | /cloudflare/chsujaikmkhlsj.com"
time="2023-04-16 14:19:50" level=info msg="| 200 |  634.771055ms |  192.168.96.128 | GET | /cloudflare/dns/chsujaikmkhlsj.com"
time="2023-04-16 14:21:05" level=info msg="| 200 |  4.349804746s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 14:22:02" level=info msg="| 200 |  347.758799ms |  192.168.96.128 | GET | /cloudflare/chsujaikmkhlsj.com"
time="2023-04-16 14:22:10" level=info msg="| 200 |  4.262491899s |  192.168.96.128 | GET | /cloudflare"
time="2023-04-16 14:22:11" level=info msg="| 200 |  385.853573ms |  192.168.96.128 | GET | /cloudflare/chsujaikmkhlsj.com"
time="2023-04-16 14:22:12" level=info msg="| 200 |  322.387427ms |  192.168.96.128 | GET | /cloudflare/chsujaikmkhlsj.com"
time="2023-04-16 14:22:15" level=info msg="| 200 |  321.003141ms |  192.168.96.128 | GET | /cloudflare/chsujaikmkhlsj.com"
time="2023-04-16 14:22:42" level=info msg="| 200 |  4.272344922s |  192.168.96.128 | GET | /cloudflare"
